,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
9253,Sealed Graffiti | Recoil UMP-45 (Shark White),b0c3d9,d2d2d2,20.04,5.01,1,LOW_SALES_3PLUS_MONTHS,3.0,0,0,1,12,,graffiti,sealed graffiti,base grade,normal,0,0
9254,Sealed Graffiti | Recoil UMP-45 (Tiger Orange),b0c3d9,d2d2d2,3.39,2.36,1,LOW_SALES_3PLUS_MONTHS,10.0,0,2,3,11,,graffiti,sealed graffiti,base grade,normal,0,0
9255,Sealed Graffiti | Recoil UMP-45 (Tracer Yellow),,d2d2d2,3.65,3.05,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,1,27,,,,,,0,0
9256,Sealed Graffiti | Recoil UMP-45 (Violent Violet),b0c3d9,d2d2d2,3.29,3.05,1,LOW_SALES_3PLUS_MONTHS,6.0,0,0,3,23,,graffiti,sealed graffiti,base grade,normal,0,0
9257,Sealed Graffiti | Recoil UMP-45 (Wire Blue),,d2d2d2,3.77,3.8200000000000003,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,2,7,,,,,,0,0
9258,Sealed Graffiti | Recoil XM1014 (Battle Green),b0c3d9,d2d2d2,2.47,2.35,1,LOW_SALES_3PLUS_MONTHS,12.0,0,4,8,17,,graffiti,sealed graffiti,base grade,normal,0,0
9259,Sealed Graffiti | Recoil XM1014 (Bazooka Pink),b0c3d9,d2d2d2,5.13,2.46,1,LOW_SALES_3PLUS_MONTHS,14.0,0,1,2,22,,graffiti,sealed graffiti,base grade,normal,0,0
9260,Sealed Graffiti | Recoil XM1014 (Cash Green),,d2d2d2,3.45,2.2,1,LOW_SALES_3PLUS_MONTHS,9.0,0,1,4,19,,,,,,0,0
9261,Sealed Graffiti | Recoil XM1014 (Desert Amber),b0c3d9,d2d2d2,1.75,1.75,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,5,19,,graffiti,sealed graffiti,base grade,normal,0,0
9262,Sealed Graffiti | Recoil XM1014 (Dust Brown),b0c3d9,d2d2d2,2.79,2.73,1,LOW_SALES_3PLUS_MONTHS,12.0,0,3,6,21,,graffiti,sealed graffiti,base grade,normal,0,0
9263,Sealed Graffiti | Recoil XM1014 (Frog Green),,d2d2d2,6.61,3.22,1,LOW_SALES_3PLUS_MONTHS,8.0,0,2,7,63,,,,,,0,0
9264,Sealed Graffiti | Recoil XM1014 (Jungle Green),,d2d2d2,2.66,1.62,1,LOW_SALES_3PLUS_MONTHS,17.0,0,0,2,9,,,,,,0,0
9265,Sealed Graffiti | Recoil XM1014 (Monarch Blue),,d2d2d2,6.0,2.0,1,LOW_SALES_3PLUS_MONTHS,6.0,0,0,3,33,,,,,,0,0
9266,Sealed Graffiti | Recoil XM1014 (Shark White),,d2d2d2,2.7199999999999998,2.64,1,LOW_SALES_3PLUS_MONTHS,7.0,0,2,5,30,,,,,,0,0
9267,Sealed Graffiti | Recoil XM1014 (Tracer Yellow),,d2d2d2,4.19,2.0,1,LOW_SALES_3PLUS_MONTHS,8.0,0,0,2,18,,,,,,0,0
9268,Sealed Graffiti | Recoil XM1014 (Violent Violet),,d2d2d2,5.88,5.73,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,11,62,,,,,,0,0
