,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
3116,★ StatTrak™ Stiletto Knife | Slaughter (Field-Tested),eb4b4b,8650ac,459.93,453.6,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,6.0,ft,knife,stiletto knife,covert,unusual,1,1
3117,★ StatTrak™ Stiletto Knife | Slaughter (Minimal Wear),eb4b4b,8650ac,870.98,689.1,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,2.0,6.0,10.0,mw,knife,stiletto knife,covert,unusual,1,1
3118,★ StatTrak™ Stiletto Knife | Stained (Battle-Scarred),,8650ac,289.0,263.01,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,2.0,11.0,bs,,,,,1,1
3119,★ StatTrak™ Stiletto Knife | Stained (Factory New),,8650ac,372.83,362.96,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,,,,,1,1
3120,★ StatTrak™ Stiletto Knife | Stained (Field-Tested),eb4b4b,8650ac,275.59,266.0,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,2.0,9.0,ft,knife,stiletto knife,covert,unusual,1,1
3121,★ StatTrak™ Stiletto Knife | Stained (Minimal Wear),eb4b4b,8650ac,295.52,280.62,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,8.0,mw,knife,stiletto knife,covert,unusual,1,1
3122,★ StatTrak™ Stiletto Knife | Stained (Well-Worn),eb4b4b,8650ac,313.78,249.99,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,2.0,5.0,ww,knife,stiletto knife,covert,unusual,1,1
3123,★ StatTrak™ Stiletto Knife | Tiger Tooth (Factory New),eb4b4b,8650ac,572.67,490.18,1,LOW_SALES_3PLUS_MONTHS,8.0,0.0,2.0,10.0,37.0,fn,knife,stiletto knife,covert,unusual,1,1
3124,★ StatTrak™ Stiletto Knife | Tiger Tooth (Minimal Wear),eb4b4b,8650ac,771.6,502.93,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,0.0,3.0,mw,knife,stiletto knife,covert,unusual,1,1
3125,★ StatTrak™ Stiletto Knife | Ultraviolet (Battle-Scarred),eb4b4b,8650ac,263.2,277.37,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,4.0,14.0,bs,knife,stiletto knife,covert,unusual,1,1
3126,★ StatTrak™ Stiletto Knife | Ultraviolet (Factory New),eb4b4b,8650ac,428.0,1087.72,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,knife,stiletto knife,covert,unusual,1,1
3127,★ StatTrak™ Stiletto Knife | Ultraviolet (Field-Tested),eb4b4b,8650ac,320.19,247.25,1,LOW_SALES_3PLUS_MONTHS,2.0,1.0,4.0,18.0,49.0,ft,knife,stiletto knife,covert,unusual,1,1
3128,★ StatTrak™ Stiletto Knife | Ultraviolet (Minimal Wear),eb4b4b,8650ac,471.32,351.03,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,4.0,13.0,mw,knife,stiletto knife,covert,unusual,1,1
3129,★ StatTrak™ Stiletto Knife | Ultraviolet (Well-Worn),eb4b4b,8650ac,525.01,266.07,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,1.0,3.0,7.0,ww,,,,,1,1
3130,★ StatTrak™ Stiletto Knife | Urban Masked (Battle-Scarred),eb4b4b,8650ac,170.7,221.02,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,5.0,10.0,bs,knife,stiletto knife,covert,unusual,1,1
3131,★ StatTrak™ Stiletto Knife | Urban Masked (Factory New),eb4b4b,8650ac,247.03,360.43,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,knife,stiletto knife,covert,unusual,1,1
3132,★ StatTrak™ Stiletto Knife | Urban Masked (Field-Tested),eb4b4b,8650ac,258.75,241.74,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,2.0,9.0,25.0,ft,knife,stiletto knife,covert,unusual,1,1
3133,★ StatTrak™ Stiletto Knife | Urban Masked (Minimal Wear),,8650ac,359.99,307.0,1,LOW_SALES_3PLUS_MONTHS,1.0,1.0,2.0,3.0,5.0,mw,,,,,1,1
3134,★ StatTrak™ Stiletto Knife | Urban Masked (Well-Worn),,8650ac,230.59,308.55,1,NO_SALES_3PLUS_MONTHS,2.0,0.0,0.0,2.0,7.0,ww,,,,,1,1
3135,★ StatTrak™ Survival Knife,eb4b4b,8650ac,267.53,234.0,1,LOW_SALES_3PLUS_MONTHS,9.0,0.0,2.0,11.0,51.0,,knife,survival knife,covert,unusual,1,1
3136,★ StatTrak™ Survival Knife | Blue Steel (Battle-Scarred),eb4b4b,8650ac,215.71,180.19,1,LOW_SALES_3PLUS_MONTHS,3.0,1.0,2.0,10.0,17.0,bs,knife,survival knife,covert,unusual,1,1
3137,★ StatTrak™ Survival Knife | Blue Steel (Factory New),eb4b4b,8650ac,380.0,326.31,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,1.0,5.0,fn,knife,survival knife,covert,unusual,1,1
3138,★ StatTrak™ Survival Knife | Blue Steel (Field-Tested),eb4b4b,8650ac,186.64,205.98,1,LOW_SALES_3PLUS_MONTHS,5.0,0.0,1.0,9.0,29.0,ft,knife,survival knife,covert,unusual,1,1
3139,★ StatTrak™ Survival Knife | Blue Steel (Minimal Wear),eb4b4b,8650ac,236.17,165.42,1,LOW_SALES_3PLUS_MONTHS,4.0,0.0,1.0,8.0,33.0,mw,knife,survival knife,covert,unusual,1,1
3140,★ StatTrak™ Survival Knife | Blue Steel (Well-Worn),eb4b4b,8650ac,184.42,157.75,1,LOW_SALES_3PLUS_MONTHS,4.0,0.0,1.0,14.0,41.0,ww,knife,survival knife,covert,unusual,1,1
3141,★ StatTrak™ Survival Knife | Boreal Forest (Battle-Scarred),eb4b4b,8650ac,126.96,94.19,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,7.0,28.0,bs,knife,survival knife,covert,unusual,1,1
3142,★ StatTrak™ Survival Knife | Boreal Forest (Factory New),,8650ac,0.0,0.0,0,,,,,,,,,,,,0,0
3143,★ StatTrak™ Survival Knife | Boreal Forest (Field-Tested),eb4b4b,8650ac,126.58,117.35,1,LOW_SALES_3PLUS_MONTHS,7.0,1.0,3.0,15.0,61.0,ft,knife,survival knife,covert,unusual,1,1
3144,★ StatTrak™ Survival Knife | Boreal Forest (Minimal Wear),eb4b4b,8650ac,162.3,137.17,1,LOW_SALES_3PLUS_MONTHS,4.0,0.0,4.0,13.0,26.0,mw,knife,survival knife,covert,unusual,1,1
3145,★ StatTrak™ Survival Knife | Boreal Forest (Well-Worn),eb4b4b,8650ac,140.6,108.8,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,2.0,3.0,ww,knife,survival knife,covert,unusual,1,1
3146,★ StatTrak™ Survival Knife | Case Hardened (Battle-Scarred),eb4b4b,8650ac,262.13,183.36,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,2.0,5.0,20.0,bs,knife,survival knife,covert,unusual,1,1
3147,★ StatTrak™ Survival Knife | Case Hardened (Factory New),eb4b4b,8650ac,309.96,450.01,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,1.0,fn,knife,survival knife,covert,unusual,1,1
3148,★ StatTrak™ Survival Knife | Case Hardened (Field-Tested),eb4b4b,8650ac,254.28,232.06,1,LOW_SALES_3PLUS_MONTHS,8.0,0.0,3.0,12.0,25.0,ft,knife,survival knife,covert,unusual,1,1
3149,★ StatTrak™ Survival Knife | Case Hardened (Minimal Wear),eb4b4b,8650ac,317.8,267.92,1,LOW_SALES_3PLUS_MONTHS,5.0,1.0,2.0,4.0,16.0,mw,knife,survival knife,covert,unusual,1,1
